Granularité;janv-11;févr-11;mars-11;avr-11;mai-11;juin-11;juil-11;août-11;sept-11;oct-11;nov-11;déc-11;Total arrondissement 2011
75004;1 552;1 334;1 570;1 528;1 628;1 603;1 485;1 215;1 538;1 585;1 485;1 545;18 068
75012;3 850;3 352;3 842;3 595;3 849;3 294;3 373;3 146;3 716;3 786;3 621;3 765;43 189
75015;5 964;5 081;5 861;5 414;5 857;5 646;5 043;4 260;5 651;5 760;5 609;5 791;65 937
75020;4 775;4 207;4 768;4 667;4 511;4 659;4 342;4 021;4 619;4 695;4 627;4 706;54 597
75011;4 936;4 360;4 992;4 740;4 910;4 800;4 517;3 869;4 780;4 875;4 654;4 751;56 184
75001;1 779;1 547;1 839;1 771;1 857;1 858;1 825;1 434;1 805;1 876;1 744;1 840;21 175
75007;2 291;1 925;2 283;2 084;2 341;2 241;2 015;1 518;2 263;2 270;2 207;2 267;25 705
75016;5 381;4 648;5 501;5 019;5 500;5 322;4 774;3 554;5 369;5 381;5 253;5 511;61 213
75019;5 154;4 587;5 198;5 157;5 273;5 164;4 910;4 520;5 146;5 203;4 989;5 129;60 430
;73 603;64 117;73 833;69 584;72 399;71 058;66 391;56 256;70 736;73 006;70 182;72 234;833 399
75003;1 489;1 281;1 482;1 365;1 486;1 436;1 352;1 085;1 452;1 471;1 399;1 435;16 733
75008;4 110;3 655;4 124;3 885;3 596;3 843;3 317;2 798;3 971;4 083;3 703;3 917;45 002
75009;3 251;2 813;3 259;2 992;3 266;3 117;2 950;2 344;3 116;3 220;3 061;3 286;36 675
75017;5 419;4 574;5 278;4 729;4 656;4 820;4 785;3 824;5 090;5 135;5 013;4 750;58 073
75018;5 549;4 814;5 477;5 297;5 537;5 465;5 177;4 816;5 402;5 578;5 273;5 469;63 854
75002;1 850;1 658;1 880;1 777;1 861;1 764;1 717;1 344;1 791;1 822;1 722;1 781;20 967
75005;2 178;1 855;2 229;2 095;2 079;2 213;2 021;1 533;1 789;2 156;2 086;2 135;24 369
75006;1 984;1 872;2 235;2 070;2 251;2 148;1 858;1 342;1 602;2 175;2 174;2 180;23 891
75010;3 496;3 065;3 487;3 307;3 506;3 413;3 225;2 804;3 398;3 451;3 297;3 418;39 867
75013;4 731;4 097;4 663;4 421;4 685;4 545;4 250;3 869;4 580;4 674;4 527;4 667;53 709
75014;3 864;3 392;3 865;3 671;3 750;3 707;3 455;2 960;3 658;3 810;3 738;3 891;43 761
