number;name;address;dept;cp;ville;latitude;longitude;wgs84
13025;13025 - PLACE DE RUNGIS;FACE 35 RUE DE LA FONTAINE A MULARD - 75013 PARIS;75;75013;PARIS;48.82245594764965;2.347382729482953;48.8224559476, 2.34738272948
13016;13016 - PRIMO LEVI;9 RUE PRIMO LEVI - 75013 PARIS;75;75013;PARIS;48.83094844846017;2.37965351592796;48.8309484485, 2.37965351593
13014;13014 - GARE D'AUSTERLITZ;5 BIS BOULEVARD DE L'HOPITAL - 75013 PARIS;75;75013;PARIS;48.842524490766195;2.364044958656523;48.8425244908, 2.36404495866
13041;13041 - PORTE D'IVRY;4 AVENUE D'IVRY - 75013 PARIS;75;75013;PARIS;48.82196244101745;2.368528699972122;48.821962441, 2.36852869997
13109;13109 - BRILLAT SAVARIN;16 RUE BRILLAT SAVARIN - 75013 PARIS;75;75013;PARIS;48.822203096341305;2.350422032913929;48.8222030963, 2.35042203291
13054;13054 - PAU CASALS;1 RUE PAU CASALS - 75013 PARIS;75;75013;PARIS;48.83124496844904;2.377263236877398;48.8312449684, 2.37726323688
13113;13113 - CHOISY VISTULE;2 RUE DE LA VISCULE - 75013 PARIS;75;75013;PARIS;48.82363397638854;2.361571534156357;48.8236339764, 2.36157153416
13035;13035 - IVRY TOLBIAC;116 AVENUE DE CHOISY - 75013 PARIS;75;75013;PARIS;48.825970136397075;2.360231840755094;48.8259701364, 2.36023184076
14113;14113 - ARAGO 2;36 RUE DE LA SANTE - 75014 PARIS;75;75014;PARIS;48.83512886504287;2.34157863455693;48.835128865, 2.34157863456
14029;14029 - GERGOVIE VERCINGETORIX;112 RUE VERCINGETORIX - 75014 PARIS;75;75014;PARIS;48.83425924993043;2.313391647113252;48.8342592499, 2.31339164711
14016;14016 - REILLE MONTSOURIS;61 AVENUE RENE COTY - 75014 PARIS;75;75014;PARIS;48.82476710259696;2.335999677300567;48.8247671026, 2.3359996773
14106;14106 - STADE DIDOT;FACE 58 AVENUE MARC SANGNIER - 75014 PARIS;75;75014;PARIS;48.825325870060475;2.310670653467625;48.8253258701, 2.31067065347
14126;14126 - VAILLANT COUTURIER;155 AVENUE PAUL VAILLANT COUTURIER - 75014 PARIS;75;75014;PARIS;48.816980981259285;2.332609687921881;48.8169809813, 2.33260968792
14117;14117 - MOUCHOTTE;5 RUE DU COMMANDANT RENE MOUCHOTTE - 75014 PARIS;75;75014;PARIS;48.83932502506044;2.320954125728877;48.8393250251, 2.32095412573
14127;14127 - ODESSA;5-7 RUE D'ODESSA - 75014 PARIS;75;75014;PARIS;48.842842278074414;2.324441565139471;48.8428422781, 2.32444156514
14032;14032 - MOUTON DUVERNET - MAIRIE DU 14EME;26 RUE MOUTON DUVERNET - 75014 PARIS;75;75014;PARIS;48.832501278703454;2.325401166692975;48.8325012787, 2.32540116669
14012;14012 - SIBELLE ALESIA;FACE 2 AVENUE DE LA SIBELLE - 75014 PARIS;75;75014;PARIS;48.826703941183546;2.338636324158646;48.8267039412, 2.33863632416
14014;14014 - STADE CHARLETY;5 BOULEVARD JOURDAN - 75014 PARIS;75;75014;PARIS;48.81940130486362;2.34337661053354;48.8194013049, 2.34337661053
14114;14114 - PLACE DE CATALOGNE;4 RUE ALAIN - 75014 PARIS;75;75014;PARIS;48.83729330936107;2.317482930639117;48.8372933094, 2.31748293064
14019;14019 - SARETTE GENERAL LECLERC;58 RUE SARRETTE - 75014 PARIS;75;75014;PARIS;48.82503085292528;2.326412869398186;48.8250308529, 2.3264128694
15040;15040 - MONCLAR;33 BIS RUE SAINT AMAND - 75015 PARIS;75;75015;PARIS;48.83411714783768;2.308850015466539;48.8341171478, 2.30885001547
15064;15064 - JAVEL;DEV 5 AVENUE EMILE ZOLA - 75015 PARIS;75;75015;PARIS;48.84629491826888;2.278413912593796;48.8462949183, 2.27841391259
15054;15054 - CHANDON;293 RUE LECOURBE - 75015 PARIS;75;75015;PARIS;48.83797034201205;2.287582307043615;48.837970342, 2.28758230704
15033;15033 - VIOLET;5 PLACE VIOLET - 75015 PARIS;75;75015;PARIS;48.84479039026177;2.290541560154527;48.8447903903, 2.29054156015
15113;15113 - FALGUIERE ARSONVAL;2 RUE D'ARSONVAL - 75015 PARIS;75;75015;PARIS;48.84040040365445;2.313117867297474;48.8404004037, 2.3131178673
15038;15038 - PLACE ADOLPHE CHERIOUX;18 PLACE ADOLPHE CHERIOUX - 75015 PARIS;75;75015;PARIS;48.839635080561905;2.300654459291639;48.8396350806, 2.30065445929
15009;15009 - SUFFREN;140 AVENUE DE SUFFREN - 75015 PARIS;75;75015;PARIS;48.84717561492764;2.307052147596786;48.8471756149, 2.3070521476
15109;15109 - CEVENNES;65 - 67 RUE DES CEVENNES - 75015 PARIS;75;75015;PARIS;48.84244145218906;2.281070755215898;48.8424414522, 2.28107075522
15044;15044 - J DUPRE;65 RUE DANTZIG - 75015 PARIS;75;75015;PARIS;48.83026939028785;2.296008076086666;48.8302693903, 2.29600807609
15063;15063 - SAINT CHARLES - CONVENTION;59 RUE DE LA CONVENTION - 75015 PARIS;75;75015;PARIS;48.84329535889522;2.283209000018466;48.8432953589, 2.28320900002
15032;15032 - LOURMEL;112 AVE FELIX FAURE - 75015 PARIS;75;75015;PARIS;48.838734408274696;2.281755540138765;48.8387344083, 2.28175554014
15065;15065 - HUMBERT;23 RUE EMILE ZOLA - 75015 PARIS;75;75015;PARIS;48.846383773003375;2.280008411904129;48.846383773, 2.2800084119
15024;15024 - LAOS;88 AVENUE DE SUFFREN - 75015 PARIS;75;75015;PARIS;48.85091460817171;2.301293384670141;48.8509146082, 2.30129338467
15112;15112 - FALGUIÈRE LEBRUN;19 RUE VIGEE LEBRUN - 75015 PARIS;75;75015;PARIS;48.838758813496995;2.3109360795034;48.8387588135, 2.3109360795
15004;15004 - VAUGIRARD PASTEUR;DEV 71 BOULEVARD DE VAUGIRARD - 75015 PARIS;75;75015;PARIS;48.8405958674037;2.315363038202961;48.8405958674, 2.3153630382
15102;15102 - SQUARE BELA BARTOK;QUAI DE GRENELLE - 75015 PARIS;75;75015;PARIS;48.851167240679665;2.284607607567737;48.8511672407, 2.28460760757
15045;15045 - PLAINE;AVENUE DE LA PORTE DE LA PLAINE - 75015 PARIS;75;75015;PARIS;48.828174936365855;2.292587522548244;48.8281749364, 2.29258752255
16016;16016 - PAUL DOUMER / LA TOUR;53 AVENUE PAUL DOUMER - 75016 PARIS;75;75016;PARIS;48.860116109626574;2.280840481911055;48.8601161096, 2.28084048191
16022;16022 - RUE JEAN BOLOGNE;16 RUE JEAN BOLOGNE - 75016 PARIS;75;75016;PARIS;48.857566889784465;2.280027395306772;48.8575668898, 2.28002739531
16010;16010 - BELLES FEUILLES;4 RUE DES BELLES FEUILLES - 75016 PARIS;75;75016;PARIS;48.86585549636314;2.282859908979733;48.8658554964, 2.28285990898
16005;16005 - POINCARE VICTOR HUGO;89 AVENUE RAYMOND POINCARE - 75016 PARIS;75;75016;PARIS;48.870306124369975;2.285074541420228;48.8703061244, 2.28507454142
16101;16101 - MALAKOFF;161 AVENUE MALAKOFF - 75016 PARIS;75;75016;PARIS;48.87669268743692;2.283457593383419;48.8766926874, 2.28345759338
16038;16038 - RUE MOLITOR;RUE MOLITOR - 75016 PARIS;75;75016;PARIS;48.84509712653168;2.265724147895062;48.8450971265, 2.2657241479
16029;16029 - MAISON DE RADIO FRANCE;1 RUE GROS - 75016 PARIS;75;75016;PARIS;48.851359912581465;2.277697269448623;48.8513599126, 2.27769726945
16105;16105 - CREVAUX;1 RUE CREVAUX - 75016 PARIS;75;75016;PARIS;48.870809428669546;2.281149007691853;48.8708094287, 2.28114900769
16014;16014 - AVENUE D EYLAU;4 AVENUE D'EYLAU - 75016 PARIS;75;75016;PARIS;48.86354640344584;2.286394496925036;48.8635464034, 2.28639449693
16041;16041 - VERSAILLES;164 AVENUE DE VERSAILLES - 75016 PARIS;75;75016;PARIS;48.84021933807409;2.263834191152959;48.8402193381, 2.26383419115
16035;16035 - HYPPODROME D AUTEUIL;ALLEE DES FORTIFICATIONS - 75016 PARIS;75;75016;PARIS;48.84889282099704;2.257651561474888;48.848892821, 2.25765156147
16015;16015 - RUE DE BASSANO;1 RUE DE BASSANO - 75016 PARIS;75;75016;PARIS;48.868144510482075;2.296149600985935;48.8681445105, 2.29614960099
16129;16129 - BOIS DE BOULOGNE / PORTE DE LA MUETTE 1;CHEMIN DE LA CEINTURE DU LAC INTERIEUR / AVENUE DE SAINT CLOUD - 75016 PARIS;75;75016;PARIS;48.862081867033794;2.261746386041142;48.862081867, 2.26174638604
16040;16040 - EXELMANS;73 BIS BOULEVARD EXELMANS - 75016 PARIS;75;75016;PARIS;48.843104494735165;2.259821391742079;48.8431044947, 2.25982139174
16102;16102 - PERGOLÈSE/ MARBEAU;52-54 RUE PERGOLÈSE - 75016 PARIS;75;75016;PARIS;48.87356870686902;2.281512522529856;48.8735687069, 2.28151252253
16124;16124 - SÈVRES NEUILLY;Route de Sèvres à Neuilly - 75016 PARIS;75;75016;PARIS;48.875095937895146;2.24921698799858;48.8750959379, 2.249216988
16021;16021 - RUE FRANCOIS PONSARD;1 RUE FRANCOIS PONSARD - 75016 PARIS;75;75016;PARIS;48.858427696615;2.274308524144912;48.8584276966, 2.27430852414
17116;17116 - REIMS;6 BOULEVARD DE REIMS - 75017 PARIS;75;75017;PARIS;48.891834448210986;2.300144659954865;48.8918344482, 2.30014465995
17108;17108 - BESSIERES;102 BOULEVARD BESSIERES - 75017 PARIS;75;75017;PARIS;48.896181267908254;2.318020679358361;48.8961812679, 2.31802067936
17005;17005 - BROCHANT;43 RUE BROCHANT - 75017 PARIS;75;75017;PARIS;48.89032998912038;2.319730559929781;48.8903299891, 2.31973055993
17044;17044 - PORTE DE SAINT OUEN;1 AVENUE DE LA PORTE DE SAINT OUEN - 75017 PARIS;75;75017;PARIS;48.89792240854517;2.32851451022192;48.8979224085, 2.32851451022
17012;17012 - MAIRIE DU 17EME;FACE 16 RUE DES BATIGNOLLES - 75017 PARIS;75;75017;PARIS;48.884101293163106;2.322206025347343;48.8841012932, 2.32220602535
17037;17037 - BAYERN PEREIRE;40 RUE BAYEN - 75017 PARIS;75;75017;PARIS;48.881830717500975;2.292140665828861;48.8818307175, 2.29214066583
17038;17038 - ARGENTINE;42 AVENUE DE LA GRANDE ARMEE - 75017 PARIS;75;75017;PARIS;48.87617438949852;2.288247405087516;48.8761743895, 2.28824740509
17017;17017 - PONT CARDINET;167 RUE DE ROME - 75017 PARIS;75;75017;PARIS;48.88714045186671;2.314521605640858;48.8871404519, 2.31452160564
18027;18027 - DAMREMONT ORDENER;102 RUE DAMREMONT - 75018 PARIS;75;75018;PARIS;48.893400392981874;2.336266523912805;48.893400393, 2.33626652391
18022;18022 - BARBES MARCADET;57 RUE MARCADET - 75018 PARIS;75;75018;PARIS;48.89045112096476;2.349057392968696;48.890451121, 2.34905739297
